# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
498.6069,2547.51
498.9568,2598.76
499.3067,2620.72
499.6565,2574.35
500.0063,2588.99
500.3560,2615.84
500.7056,2520.67
501.0553,2598.76
501.4048,2620.72
501.7543,2647.56
502.1038,2606.08
502.4532,2608.52
502.8026,2642.68
503.1519,2559.71
503.5012,2559.71
503.8504,2576.79
504.1995,2613.4
504.5487,2664.64
504.8977,2574.35
505.2467,2579.23
505.5957,2630.48
505.9446,2557.27
506.2935,2596.32
506.6423,2596.32
506.9911,2574.35
507.3398,2632.92
507.6885,2654.88
508.0371,2620.72
508.3857,2630.48
508.7342,2576.79
509.0827,2610.96
509.4311,2625.6
509.7795,2647.56
510.1278,2652.44
510.4761,2630.48
510.8243,2588.99
511.1725,2703.68
511.5206,2642.68
511.8687,2601.2
512.2167,2628.04
512.5647,2623.16
512.9126,2620.72
513.2605,2581.67
513.6083,2632.92
513.9561,2657.32
514.3038,2610.96
514.6515,2671.96
514.9992,2681.72
515.3467,2664.64
515.6943,2608.52
516.0417,2647.56
516.3892,2596.32
516.7366,2654.88
517.0839,2679.28
517.4312,2637.8
517.7784,2667.08
518.1256,2659.76
518.4727,2645.12
518.8198,2681.72
519.1668,2647.56
519.5138,2720.76
519.8607,2696.36
520.2076,2625.6
520.5545,2576.79
520.9012,2681.72
521.2480,2615.84
521.5946,2613.4
521.9413,2654.88
522.2879,2674.4
522.6344,2708.56
522.9809,2659.76
523.3273,2679.28
523.6737,2620.72
524.0200,2674.4
524.3663,2647.56
524.7125,2691.48
525.0587,2696.36
525.4048,2676.84
525.7509,2635.36
526.0969,2647.56
526.4429,2728.08
526.7888,2662.2
527.1347,2691.48
527.4806,2728.08
527.8263,2706.12
528.1721,2740.28
528.5177,2708.56
528.8634,2703.68
529.2089,2720.76
529.5545,2652.44
529.8999,2723.2
530.2454,2637.8
530.5907,2698.8
530.9361,2698.8
531.2813,2625.6
531.6266,2640.24
531.9717,2662.2
532.3169,2667.08
532.6619,2676.84
533.0070,2654.88
533.3519,2779.33
533.6968,2703.68
534.0417,2711
534.3865,2632.92
534.7313,2708.56
535.0760,2723.2
535.4207,2698.8
535.7653,2635.36
536.1099,2654.88
536.4544,2706.12
536.7989,2684.16
537.1433,2628.04
537.4876,2664.64
537.8320,2591.44
538.1762,2676.84
538.5204,2659.76
538.8646,2706.12
539.2087,2693.92
539.5528,2706.12
539.8968,2667.08
540.2407,2711
540.5846,2642.68
540.9285,2630.48
541.2723,2588.99
541.6161,2720.76
541.9598,2674.4
542.3034,2689.04
542.6470,2691.48
542.9906,2676.84
543.3341,2630.48
543.6775,2615.84
544.0209,2593.88
544.3643,2635.36
544.7076,2657.32
545.0508,2657.32
545.3940,2679.28
545.7372,2654.88
546.0802,2669.52
546.4233,2750.04
546.7663,2667.08
547.1092,2632.92
547.4521,2674.4
547.7949,2701.24
548.1377,2698.8
548.4805,2613.4
548.8232,2620.72
549.1658,2567.03
549.5084,2620.72
549.8509,2691.48
550.1934,2723.2
550.5358,2696.36
550.8782,2693.92
551.2205,2691.48
551.5628,2718.32
551.9050,2630.48
552.2472,2667.08
552.5893,2718.32
552.9314,2562.15
553.2734,2637.8
553.6154,2691.48
553.9573,2715.88
554.2992,2696.36
554.6410,2618.28
554.9827,2701.24
555.3244,2718.32
555.6661,2696.36
556.0077,2642.68
